apartmenttype,quarter,region,subregion,year,averagerent
1 Bed,1,Colorado State,Alamosa,2002,371.82
1 Bed,3,Colorado State,Alamosa,2002,482.6
1 Bed,1,Colorado State,Alamosa,2003,457.97
1 Bed,3,Colorado State,Alamosa,2003,447.4537037037037
1 Bed,1,Colorado State,Alamosa,2004,400.513698630137
1 Bed,3,Colorado State,Alamosa,2004,376.9230769230769
1 Bed,1,Colorado State,Alamosa,2005,431.25
1 Bed,3,Colorado State,Alamosa,2005,522.773972603
1 Bed,1,Colorado State,Alamosa,2006,524.228395062
1 Bed,3,Colorado State,Alamosa,2006,524.228395062
1 Bed,4,Colorado State,Alamosa,2006,NA
1 Bed,1,Colorado State,Alamosa,2007,404.861111111
1 Bed,2,Colorado State,Alamosa,2007,NA
1 Bed,3,Colorado State,Alamosa,2007,416.435185185
1 Bed,4,Colorado State,Alamosa,2007,NA
1 Bed,1,Colorado State,Alamosa,2008,420.138888889
1 Bed,2,Colorado State,Alamosa,2008,NA
1 Bed,3,Colorado State,Alamosa,2008,429.861111111
1 Bed,4,Colorado State,Alamosa,2008,NA
1 Bed,1,Colorado State,Alamosa,2009,508.602941176
1 Bed,2,Colorado State,Alamosa,2009,NA
1 Bed,3,Colorado State,Alamosa,2009,515.094339623
1 Bed,4,Colorado State,Alamosa,2009,NA
1 Bed,1,Colorado State,Alamosa,2010,515.094339623
1 Bed,2,Colorado State,Alamosa,2010,NA
1 Bed,3,Colorado State,Alamosa,2010,515.094339623
1 Bed,4,Colorado State,Alamosa,2010,NA
1 Bed,1,Colorado State,Alamosa,2011,518.137254902
1 Bed,2,Colorado State,Alamosa,2011,NA
1 Bed,3,Colorado State,Alamosa,2011,518.62745098
1 Bed,4,Colorado State,Alamosa,2011,NA
1 Bed,1,Colorado State,Alamosa,2012,582.985714286
1 Bed,2,Colorado State,Alamosa,2012,NA
1 Bed,3,Colorado State,Alamosa,2012,649.0
1 Bed,4,Colorado State,Alamosa,2012,NA
1 Bed,1,Colorado State,Alamosa,2013,512.5
1 Bed,2,Colorado State,Alamosa,2013,NA
1 Bed,3,Colorado State,Alamosa,2013,560.141509434
1 Bed,4,Colorado State,Alamosa,2013,NA
1 Bed,1,Colorado State,Alamosa,2014,565.293103448
1 Bed,2,Colorado State,Alamosa,2014,NA
1 Bed,3,Colorado State,Alamosa,2014,NA
1 Bed,4,Colorado State,Alamosa,2014,NA
1 Bed,1,Colorado State,Alamosa,2015,684.0
1 Bed,2,Colorado State,Alamosa,2015,NA
1 Bed,3,Colorado State,Alamosa,2015,NA
1 Bed,4,Colorado State,Alamosa,2015,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,1996,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,1996,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,1997,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,1997,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,1998,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,1998,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,1999,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,1999,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2000,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2000,457.19
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2001,400.29
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2001,299.12
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2002,289.97
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2002,469.82
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2003,311.54
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2003,373.538961038961
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2004,411.2113402061856
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2004,442.3076923076923
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2005,396.40410958904107
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2005,393.170103093
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2006,384.664948454
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2006,396.634020619
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2006,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2007,493.928571429
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2007,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2007,490.564935065
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2007,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2008,508.603896104
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2008,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2008,516.720779221
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2008,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2009,431.25974026
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2009,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2009,436.850649351
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2009,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2010,437.5
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2010,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2010,438.47402597400003
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2010,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2011,452.083333333
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2011,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2011,460.302197802
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2011,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2012,362.053571429
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2012,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2012,649.0
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2012,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2013,662.5
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2013,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2013,642.324561404
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2013,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2014,557.919642857
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2014,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2014,NA
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2014,NA
"2 Bed, 1 Bath",1,Colorado State,Alamosa,2015,645.138888889
"2 Bed, 1 Bath",2,Colorado State,Alamosa,2015,NA
"2 Bed, 1 Bath",3,Colorado State,Alamosa,2015,NA
"2 Bed, 1 Bath",4,Colorado State,Alamosa,2015,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,1996,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,1996,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,1997,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,1997,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,1998,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,1998,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,1999,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,1999,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2000,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2000,624.67
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2001,631.75
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2001,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2002,376.46
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2002,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2003,363.0
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2003,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2004,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2004,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2005,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2005,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2006,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2006,NA
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2006,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2007,NA
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2007,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2007,NA
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2007,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2008,NA
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2008,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2008,NA
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2008,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2009,1112.5
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2009,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2009,1137.5
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2009,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2010,1137.5
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2010,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2010,1137.5
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2010,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2011,1137.5
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2011,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2011,1137.5
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2011,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2012,NA
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2012,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2012,NA
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2012,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2013,NA
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2013,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2013,662.5
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2013,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2014,687.5
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2014,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2014,NA
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2014,NA
"2 Bed, 2 Bath",1,Colorado State,Alamosa,2015,665.178571429
"2 Bed, 2 Bath",2,Colorado State,Alamosa,2015,NA
"2 Bed, 2 Bath",3,Colorado State,Alamosa,2015,NA
"2 Bed, 2 Bath",4,Colorado State,Alamosa,2015,NA
3 Bed,1,Colorado State,Alamosa,1996,NA
3 Bed,3,Colorado State,Alamosa,1996,NA
3 Bed,1,Colorado State,Alamosa,1997,NA
3 Bed,3,Colorado State,Alamosa,1997,NA
3 Bed,1,Colorado State,Alamosa,1998,NA
3 Bed,3,Colorado State,Alamosa,1998,NA
3 Bed,1,Colorado State,Alamosa,1999,NA
3 Bed,3,Colorado State,Alamosa,1999,NA
3 Bed,1,Colorado State,Alamosa,2000,NA
3 Bed,3,Colorado State,Alamosa,2000,588.0
3 Bed,1,Colorado State,Alamosa,2001,388.0
3 Bed,3,Colorado State,Alamosa,2001,220.2
3 Bed,1,Colorado State,Alamosa,2002,NA
3 Bed,3,Colorado State,Alamosa,2002,NA
3 Bed,1,Colorado State,Alamosa,2003,220.2
3 Bed,3,Colorado State,Alamosa,2003,302.5
3 Bed,1,Colorado State,Alamosa,2004,425.0
3 Bed,3,Colorado State,Alamosa,2004,512.5
3 Bed,1,Colorado State,Alamosa,2005,362.5
3 Bed,3,Colorado State,Alamosa,2005,392.5
3 Bed,1,Colorado State,Alamosa,2006,392.5
3 Bed,3,Colorado State,Alamosa,2006,466.0
3 Bed,4,Colorado State,Alamosa,2006,NA
3 Bed,1,Colorado State,Alamosa,2007,623.6
3 Bed,2,Colorado State,Alamosa,2007,NA
3 Bed,3,Colorado State,Alamosa,2007,648.0
3 Bed,4,Colorado State,Alamosa,2007,NA
3 Bed,1,Colorado State,Alamosa,2008,662.5
3 Bed,2,Colorado State,Alamosa,2008,NA
3 Bed,3,Colorado State,Alamosa,2008,647.5
3 Bed,4,Colorado State,Alamosa,2008,NA
3 Bed,1,Colorado State,Alamosa,2009,663.6
3 Bed,2,Colorado State,Alamosa,2009,NA
3 Bed,3,Colorado State,Alamosa,2009,677.5
3 Bed,4,Colorado State,Alamosa,2009,NA
3 Bed,1,Colorado State,Alamosa,2010,677.5
3 Bed,2,Colorado State,Alamosa,2010,NA
3 Bed,3,Colorado State,Alamosa,2010,687.5
3 Bed,4,Colorado State,Alamosa,2010,NA
3 Bed,1,Colorado State,Alamosa,2011,687.5
3 Bed,2,Colorado State,Alamosa,2011,NA
3 Bed,3,Colorado State,Alamosa,2011,687.5
3 Bed,4,Colorado State,Alamosa,2011,NA
3 Bed,1,Colorado State,Alamosa,2012,NA
3 Bed,2,Colorado State,Alamosa,2012,NA
3 Bed,3,Colorado State,Alamosa,2012,NA
3 Bed,4,Colorado State,Alamosa,2012,NA
3 Bed,1,Colorado State,Alamosa,2013,NA
3 Bed,2,Colorado State,Alamosa,2013,NA
3 Bed,3,Colorado State,Alamosa,2013,737.5
3 Bed,4,Colorado State,Alamosa,2013,NA
3 Bed,1,Colorado State,Alamosa,2014,662.5
3 Bed,2,Colorado State,Alamosa,2014,NA
3 Bed,3,Colorado State,Alamosa,2014,NA
3 Bed,4,Colorado State,Alamosa,2014,NA
3 Bed,1,Colorado State,Alamosa,2015,687.5
3 Bed,2,Colorado State,Alamosa,2015,NA
3 Bed,3,Colorado State,Alamosa,2015,NA
3 Bed,4,Colorado State,Alamosa,2015,NA
All,1,Colorado State,Alamosa,1996,NA
All,3,Colorado State,Alamosa,1996,NA
All,1,Colorado State,Alamosa,1997,NA
All,3,Colorado State,Alamosa,1997,NA
All,1,Colorado State,Alamosa,1998,NA
All,3,Colorado State,Alamosa,1998,NA
All,1,Colorado State,Alamosa,1999,NA
All,3,Colorado State,Alamosa,1999,NA
All,1,Colorado State,Alamosa,2000,NA
All,3,Colorado State,Alamosa,2000,436.94
All,1,Colorado State,Alamosa,2001,399.21
All,3,Colorado State,Alamosa,2001,312.12
All,1,Colorado State,Alamosa,2002,334.28
All,3,Colorado State,Alamosa,2002,479.93
All,1,Colorado State,Alamosa,2003,397.26
All,3,Colorado State,Alamosa,2003,405.5487804878049
All,1,Colorado State,Alamosa,2004,407.4438202247191
All,3,Colorado State,Alamosa,2004,411.5979381443299
All,1,Colorado State,Alamosa,2005,415.22020725388603
All,3,Colorado State,Alamosa,2005,441.814720812
All,1,Colorado State,Alamosa,2006,442.550505051
All,3,Colorado State,Alamosa,2006,455.838383838
All,4,Colorado State,Alamosa,2006,NA
All,1,Colorado State,Alamosa,2007,459.656097561
All,2,Colorado State,Alamosa,2007,NA
All,3,Colorado State,Alamosa,2007,466.870731707
All,4,Colorado State,Alamosa,2007,NA
All,1,Colorado State,Alamosa,2008,477.012195122
All,2,Colorado State,Alamosa,2008,NA
All,3,Colorado State,Alamosa,2008,483.719512195
All,4,Colorado State,Alamosa,2008,NA
All,1,Colorado State,Alamosa,2009,503.435643564
All,2,Colorado State,Alamosa,2009,NA
All,3,Colorado State,Alamosa,2009,510.67961165
All,4,Colorado State,Alamosa,2009,NA
All,1,Colorado State,Alamosa,2010,510.922330097
All,2,Colorado State,Alamosa,2010,NA
All,3,Colorado State,Alamosa,2010,512.257281553
All,4,Colorado State,Alamosa,2010,NA
All,1,Colorado State,Alamosa,2011,516.686602871
All,2,Colorado State,Alamosa,2011,NA
All,3,Colorado State,Alamosa,2011,518.287037037
All,4,Colorado State,Alamosa,2011,NA
All,1,Colorado State,Alamosa,2012,519.862244898
All,2,Colorado State,Alamosa,2012,NA
All,3,Colorado State,Alamosa,2012,649.0
All,4,Colorado State,Alamosa,2012,NA
All,1,Colorado State,Alamosa,2013,574.807692308
All,2,Colorado State,Alamosa,2013,NA
All,3,Colorado State,Alamosa,2013,609.768907563
All,4,Colorado State,Alamosa,2013,NA
All,1,Colorado State,Alamosa,2014,569.928104575
All,2,Colorado State,Alamosa,2014,NA
All,3,Colorado State,Alamosa,2014,NA
All,4,Colorado State,Alamosa,2014,NA
All,1,Colorado State,Alamosa,2015,657.960227273
All,2,Colorado State,Alamosa,2015,NA
All,3,Colorado State,Alamosa,2015,NA
All,4,Colorado State,Alamosa,2015,NA
Efficiency,1,Colorado State,Aspen,1996,641.95
Efficiency,3,Colorado State,Aspen,1996,599.11
Efficiency,1,Colorado State,Aspen,1997,669.9
Efficiency,3,Colorado State,Aspen,1997,671.75
Efficiency,1,Colorado State,Aspen,1998,NA
Efficiency,3,Colorado State,Aspen,1998,907.68
Efficiency,1,Colorado State,Aspen,1999,988.0
Efficiency,3,Colorado State,Aspen,1999,820.93
Efficiency,1,Colorado State,Aspen,2000,766.0
Efficiency,3,Colorado State,Aspen,2000,784.05
Efficiency,1,Colorado State,Aspen,2001,838.0
Efficiency,3,Colorado State,Aspen,2001,713.0
Efficiency,1,Colorado State,Aspen,2002,572.62
Efficiency,3,Colorado State,Aspen,2002,697.09
Efficiency,1,Colorado State,Aspen,2003,697.09
Efficiency,3,Colorado State,Aspen,2003,487.5
Efficiency,1,Colorado State,Aspen,2004,750.3048780487804
Efficiency,3,Colorado State,Aspen,2004,786.9565217391304
Efficiency,1,Colorado State,Aspen,2005,570.2380952380952
Efficiency,3,Colorado State,Aspen,2005,733.928571429
Efficiency,1,Colorado State,Aspen,2006,816.768292683
Efficiency,3,Colorado State,Aspen,2006,901.785714286
Efficiency,4,Colorado State,Aspen,2006,NA
Efficiency,1,Colorado State,Aspen,2007,895.639534884
Efficiency,2,Colorado State,Aspen,2007,NA
Efficiency,3,Colorado State,Aspen,2007,994.817073171
Efficiency,4,Colorado State,Aspen,2007,NA
Efficiency,1,Colorado State,Aspen,2008,1001.52439024
Efficiency,2,Colorado State,Aspen,2008,NA
Efficiency,3,Colorado State,Aspen,2008,1013.7195122
Efficiency,4,Colorado State,Aspen,2008,NA
Efficiency,1,Colorado State,Aspen,2009,935.670731707
Efficiency,2,Colorado State,Aspen,2009,NA
Efficiency,3,Colorado State,Aspen,2009,952.743902439
Efficiency,4,Colorado State,Aspen,2009,NA
Efficiency,1,Colorado State,Aspen,2010,961.280487805
Efficiency,2,Colorado State,Aspen,2010,NA
Efficiency,3,Colorado State,Aspen,2010,961.280487805
Efficiency,4,Colorado State,Aspen,2010,NA
Efficiency,1,Colorado State,Aspen,2011,962.5
Efficiency,2,Colorado State,Aspen,2011,NA
Efficiency,3,Colorado State,Aspen,2011,961.890243902
Efficiency,4,Colorado State,Aspen,2011,NA
Efficiency,1,Colorado State,Aspen,2012,NA
Efficiency,2,Colorado State,Aspen,2012,NA
Efficiency,3,Colorado State,Aspen,2012,650.0
Efficiency,4,Colorado State,Aspen,2012,NA
Efficiency,1,Colorado State,Aspen,2013,617.801587302
Efficiency,2,Colorado State,Aspen,2013,NA
Efficiency,3,Colorado State,Aspen,2013,675.0
Efficiency,4,Colorado State,Aspen,2013,NA
Efficiency,1,Colorado State,Aspen,2014,675.0
Efficiency,2,Colorado State,Aspen,2014,NA
Efficiency,3,Colorado State,Aspen,2014,695.0
Efficiency,4,Colorado State,Aspen,2014,NA
Efficiency,1,Colorado State,Aspen,2015,695.0
Efficiency,2,Colorado State,Aspen,2015,NA
Efficiency,3,Colorado State,Aspen,2015,700.0
Efficiency,4,Colorado State,Aspen,2015,NA
1 Bed,1,Colorado State,Aspen,1996,884.66
1 Bed,3,Colorado State,Aspen,1996,926.48
1 Bed,1,Colorado State,Aspen,1997,963.57
1 Bed,3,Colorado State,Aspen,1997,909.34
1 Bed,1,Colorado State,Aspen,1998,915.33
1 Bed,3,Colorado State,Aspen,1998,1084.68
1 Bed,1,Colorado State,Aspen,1999,1088.71
1 Bed,3,Colorado State,Aspen,1999,995.87
1 Bed,1,Colorado State,Aspen,2000,775.04
1 Bed,3,Colorado State,Aspen,2000,824.63
1 Bed,1,Colorado State,Aspen,2001,842.41
1 Bed,3,Colorado State,Aspen,2001,1075.79
1 Bed,1,Colorado State,Aspen,2002,845.27
1 Bed,3,Colorado State,Aspen,2002,852.55
1 Bed,1,Colorado State,Aspen,2003,852.55
1 Bed,3,Colorado State,Aspen,2003,712.109375
1 Bed,1,Colorado State,Aspen,2004,850.0
1 Bed,3,Colorado State,Aspen,2004,994.0217391304348
1 Bed,1,Colorado State,Aspen,2005,988.6029411764706
1 Bed,3,Colorado State,Aspen,2005,987.755102041
1 Bed,1,Colorado State,Aspen,2006,1078.76506024
1 Bed,3,Colorado State,Aspen,2006,1056.54761905
1 Bed,4,Colorado State,Aspen,2006,NA
1 Bed,1,Colorado State,Aspen,2007,1045.89473684
1 Bed,2,Colorado State,Aspen,2007,NA
1 Bed,3,Colorado State,Aspen,2007,1115.81325301
1 Bed,4,Colorado State,Aspen,2007,NA
1 Bed,1,Colorado State,Aspen,2008,1075.92021277
1 Bed,2,Colorado State,Aspen,2008,NA
1 Bed,3,Colorado State,Aspen,2008,1072.10897436
1 Bed,4,Colorado State,Aspen,2008,NA
1 Bed,1,Colorado State,Aspen,2009,1006.88461538
1 Bed,2,Colorado State,Aspen,2009,NA
1 Bed,3,Colorado State,Aspen,2009,1004.80128205
1 Bed,4,Colorado State,Aspen,2009,NA
1 Bed,1,Colorado State,Aspen,2010,1028.84615385
1 Bed,2,Colorado State,Aspen,2010,NA
1 Bed,3,Colorado State,Aspen,2010,1007.62179487
1 Bed,4,Colorado State,Aspen,2010,NA
1 Bed,1,Colorado State,Aspen,2011,1050.21195652
1 Bed,2,Colorado State,Aspen,2011,NA
1 Bed,3,Colorado State,Aspen,2011,1007.94230769
1 Bed,4,Colorado State,Aspen,2011,NA
1 Bed,1,Colorado State,Aspen,2012,804.816666667
1 Bed,2,Colorado State,Aspen,2012,NA
1 Bed,3,Colorado State,Aspen,2012,794.75
1 Bed,4,Colorado State,Aspen,2012,NA
1 Bed,1,Colorado State,Aspen,2013,1124.15
1 Bed,2,Colorado State,Aspen,2013,NA
1 Bed,3,Colorado State,Aspen,2013,835.375
1 Bed,4,Colorado State,Aspen,2013,NA
1 Bed,1,Colorado State,Aspen,2014,819.75
1 Bed,2,Colorado State,Aspen,2014,NA
1 Bed,3,Colorado State,Aspen,2014,926.19047619
1 Bed,4,Colorado State,Aspen,2014,NA
1 Bed,1,Colorado State,Aspen,2015,947.619047619
1 Bed,2,Colorado State,Aspen,2015,NA
1 Bed,3,Colorado State,Aspen,2015,860.151515152
1 Bed,4,Colorado State,Aspen,2015,NA
"2 Bed, 1 Bath",1,Colorado State,Aspen,1996,981.9
"2 Bed, 1 Bath",3,Colorado State,Aspen,1996,983.58
"2 Bed, 1 Bath",1,Colorado State,Aspen,1997,1104.78
"2 Bed, 1 Bath",3,Colorado State,Aspen,1997,1125.78
"2 Bed, 1 Bath",1,Colorado State,Aspen,1998,863.65
"2 Bed, 1 Bath",3,Colorado State,Aspen,1998,1063.5
"2 Bed, 1 Bath",1,Colorado State,Aspen,1999,1002.77
"2 Bed, 1 Bath",3,Colorado State,Aspen,1999,1139.91
"2 Bed, 1 Bath",1,Colorado State,Aspen,2000,1070.87
"2 Bed, 1 Bath",3,Colorado State,Aspen,2000,967.55
"2 Bed, 1 Bath",1,Colorado State,Aspen,2001,1014.28
"2 Bed, 1 Bath",3,Colorado State,Aspen,2001,1328.26
"2 Bed, 1 Bath",1,Colorado State,Aspen,2002,952.81
"2 Bed, 1 Bath",3,Colorado State,Aspen,2002,1028.27
"2 Bed, 1 Bath",1,Colorado State,Aspen,2003,1028.27
"2 Bed, 1 Bath",3,Colorado State,Aspen,2003,922.8092783505155
"2 Bed, 1 Bath",1,Colorado State,Aspen,2004,989.9096385542168
